listingPrice,listingType,marketStatus,conservationStatus,energyEfficiencyLevel,constructionYear,localZone,garage,garageSpots,floorAsNumber,elevator,totalRooms,numberOfBedrooms,numberOfBathrooms,totalArea,livingArea
700000.0,Moradia,Novo para o Mercado,,C,2006.0,Barcarena,False,2,,False,5.0,4.0,3.0,174.0,136.0
785000.0,Apartamento,Novo para o Mercado,,B-,2004.0,Algés,False,2,4.0,True,3.0,3.0,3.0,159.0,142.0
2595000.0,Moradia,Novo para o Mercado,Como novo,B-,2017.0,Barcarena,True,2,,False,,5.0,6.0,440.0,440.0
255000.0,Apartamento,Novo para o Mercado,,C,1979.0,Porto Salvo,False,0,1.0,False,3.0,2.0,1.0,67.0,61.0
970000.0,Moradia,Novo para o Mercado,,C,1976.0,Queijas,False,1,,False,4.0,4.0,3.0,203.0,132.0
1000000.0,Apartamento,Novo para o Mercado,Usado,C,1982.0,Oeiras,False,1,3.0,True,5.0,4.0,3.0,155.0,155.0
299000.0,Apartamento,Novo para o Mercado,Bom estado,D,1974.0,Cruz Quebrada-Dafundo,False,0,0.0,False,3.0,2.0,1.0,59.0,58.0
690000.0,Moradia,Novo para o Mercado,Bom estado,D,2011.0,Barcarena,False,1,,False,10.0,6.0,4.0,302.0,302.0
784100.0,Apartamento,Novo para o Mercado,Novo,A,2026.0,Queijas,False,2,3.0,False,3.0,2.0,2.0,123.0,123.0
990000.0,Moradia,Novo para o Mercado,,E,1951.0,Cruz Quebrada-Dafundo,False,0,,False,3.0,2.0,2.0,166.0,229.0
397000.0,Apartamento,Novo para o Mercado,,C,1980.0,Algés,False,0,6.0,True,3.0,2.0,1.0,80.0,78.0
850000.0,Apartamento,Novo para o Mercado,,D,2003.0,Paço De Arcos,False,1,3.0,True,,2.0,2.0,61.0,61.0
180000.0,Apartamento,Novo para o Mercado,Bom estado,E,1992.0,Oeiras,False,0,0.0,False,,2.0,1.0,61.0,55.0
275000.0,Apartamento,Novo para o Mercado,,D,1986.0,Algés,False,0,3.0,False,3.0,2.0,1.0,60.0,60.0
1260000.0,Moradia,Novo para o Mercado,,C,1969.0,Oeiras,True,1,,False,9.0,8.0,6.0,239.0,205.0
850000.0,Apartamento,Novo para o Mercado,,NC,2024.0,Algés,False,2,8.0,True,,3.0,3.0,152.0,152.0
220000.0,Apartamento,Novo para o Mercado,Para Obras,D,1968.0,Porto Salvo,False,1,1.0,False,3.0,2.0,1.0,76.0,54.0
345000.0,Apartamento,Novo para o Mercado,,F,1994.0,Linda A Velha,False,1,3.0,True,3.0,2.0,1.0,85.0,85.0
282000.0,Apartamento,Novo para o Mercado,,C,1998.0,Carnaxide,False,0,3.0,False,4.0,3.0,1.0,79.0,79.0
1290000.0,Duplex,Novo para o Mercado,,A+,2023.0,Paço De Arcos,True,2,0.0,True,,3.0,3.0,237.0,213.0
540000.0,Apartamento,Novo para o Mercado,Para Obras,D,1973.0,Algés,False,1,1.0,True,8.0,4.0,3.0,154.0,133.0
429000.0,Apartamento,Novo para o Mercado,Como novo,B-,2009.0,Linda A Velha,False,2,1.0,True,,2.0,2.0,95.0,90.0
255000.0,Apartamento,Novo para o Mercado,,D,1969.0,Oeiras,False,0,2.0,False,,1.0,1.0,41.0,32.0
360000.0,Apartamento,Novo para o Mercado,Bom estado,C,1974.0,Oeiras,False,0,8.0,True,4.0,3.0,2.0,102.0,81.0
499000.0,Apartamento,Novo para o Mercado,,E,1964.0,Oeiras,False,0,3.0,True,6.0,5.0,3.0,162.0,160.0
569000.0,Apartamento,Novo para o Mercado,,C,1986.0,Oeiras,False,2,10.0,True,,3.0,2.0,120.0,106.0
3250000.0,Prédio,Novo para o Mercado,Bom estado,D,1938.0,Cruz Quebrada-Dafundo,True,2,,False,,,0.0,1237.0,1051.0
575000.0,Apartamento,Novo para o Mercado,,C,2002.0,Carnaxide,False,2,9.0,True,,3.0,3.0,136.0,111.0
498000.0,Apartamento,Novo para o Mercado,Novo,B,2024.0,Cruz Quebrada-Dafundo,False,1,1.0,True,3.0,2.0,2.0,140.0,93.0
375000.0,Apartamento,Novo para o Mercado,Usado,C,1977.0,Algés,False,0,2.0,True,4.0,3.0,2.0,107.0,107.0
480000.0,Prédio,Novo para o Mercado,,D,1966.0,Queijas,False,2,,False,,,,160.0,160.0
799000.0,Apartamento,Novo para o Mercado,,NC,2024.0,Algés,False,2,5.0,True,,3.0,3.0,153.0,153.0
70000.0,Terreno,Novo para o Mercado,,NC,,Porto Salvo,False,0,,,,,0.0,,
180000.0,Apartamento,Novo para o Mercado,,D,1978.0,Paço De Arcos,False,0,6.0,True,1.0,0.0,1.0,32.0,30.0
359000.0,Apartamento,Novo para o Mercado,Como novo,D,1980.0,Oeiras,False,0,5.0,True,3.0,2.0,1.0,86.0,80.0
295000.0,Apartamento,Novo para o Mercado,,D,1965.0,Algés,False,0,0.0,False,,3.0,2.0,75.0,75.0
1050000.0,Moradia,Novo para o Mercado,Novo,B-,1996.0,Barcarena,True,2,,False,7.0,4.0,6.0,274.0,308.0
300000.0,Terreno,Novo para o Mercado,,NC,2024.0,Barcarena,True,3,,False,0.0,,0.0,475.0,475.0
377000.0,Apartamento,Novo para o Mercado,,D,1960.0,Caxias,True,1,0.0,False,,2.0,2.0,234.0,62.0
498000.0,Apartamento,Novo para o Mercado,Bom estado,D,2008.0,Carnaxide,False,2,1.0,True,4.0,3.0,2.0,124.0,107.0
245000.0,Terreno,Novo para o Mercado,,NC,,Caxias,False,0,,,,,0.0,,
405000.0,Apartamento,Novo para o Mercado,,C,1985.0,Oeiras,False,0,3.0,True,,3.0,2.0,3.0,19.0
442000.0,Moradia,Novo para o Mercado,,D,1998.0,Porto Salvo,False,3,,False,7.0,5.0,4.0,258.0,258.0
400000.0,Apartamento,Novo para o Mercado,,D,2008.0,Barcarena,True,2,0.0,True,3.0,2.0,2.0,139.0,116.0
585000.0,Apartamento,Novo para o Mercado,,B,2003.0,Paço De Arcos,False,2,2.0,True,4.0,3.0,3.0,135.0,159.0
340000.0,Apartamento,Novo para o Mercado,,C,1995.0,Carnaxide,False,1,2.0,False,4.0,3.0,2.0,111.0,84.0
535000.0,Apartamento,Novo para o Mercado,Novo,NC,2024.0,Linda A Velha,False,2,2.0,True,3.0,2.0,3.0,138.0,102.0
545000.0,Apartamento,Novo para o Mercado,Novo,NC,2024.0,Linda A Velha,False,2,3.0,True,3.0,2.0,3.0,138.0,102.0
605000.0,Apartamento,Novo para o Mercado,Novo,NC,2024.0,Linda A Velha,False,2,7.0,True,3.0,2.0,3.0,138.0,102.0
